77705,71,7.6,23.1,-75.4
34670,59,3865.3,25.2,-63.7
88599,488,1.8,27,-56.4
88523,64,6.6,20.1,-68.1
55838,69,3.5,25.8,-93.7
73060,15,5,29.1,-82.8
91177,57,2.4,28.5,-69.4
23940,88,7513.4,19.8,-57
34776,266,0.6,25.8,-87.6
43275,57,8,19.8,-73.6
10740,12,7.5,28.5,-51.8
4230,67,553.9,24.9,-99.2
54303,851,9.6,20.7,-59.9
12615,69,4.9,16.5,-81.4
94302,738,5.5,22.2,-54.7
66356,75,5.9,25.8,-78.8
57981,78,3.1,19.2,-50.6
43649,35,1362.6,25.5,-81.8
62013,1120,2.4,15,-71.9
79836,12,4369.7,13.8,-50.1
14694,74,9.3,27.9,-79.8
56720,155,9.1,25.2,-55.3
88011,1893,4,24,-81.8
8797,49,7.9,13.5,-75
56027,67,9.7,26.4,-81.3
70074,55,6.1,17.4,-71.7
42315,25,2.4,29.7,-73.5
9655,98,6.6,16.2,-63.6
74076,416,3.8,21,-76.7
38502,397,0.8,22.8,-95.7
44032,58,8266.5,24.6,-82.4
29860,1728,6.2,15.6,-71.6
13703,76,9,21.9,-72.8
17399,71,0.7,18.3,-64.2
31873,93,3482.3,17.4,-99.7
85840,222,7.7,17.7,-78.8
19151,1943,6556.9,21.9,-97.4
45979,78,2.1,29.1,-70.2
30157,72,7.2,16.5,-69.5
84067,93,8673.9,23.4,-95.1
1435,39,0.4,15.6,-99.7
89086,84,9.8,22.5,-80.9
57411,92,6.8,14.4,-72.3
31012,84,7280.3,16.2,-57.8
60413,27,7.5,22.8,-70.7
13898,20,7.3,18.6,-75.3
96093,13,5.2,18,-81.6
74610,1848,9.8,21.6,-79.9
14814,44,8105.3,19.5,-75.4
16208,345,7.6,27.6,-74.6
11265,973,9250.7,25.5,-74.2
40121,61,1.4,15.9,-79.3
12944,58,0.3,13.5,-82.7
74853,45,4.8,29.1,-76.6
13111,53,2,29.1,-81.8
28669,367,8.8,23.7,-76.5
30435,1254,7.5,12.9,-91.4
42281,48,6802.5,22.8,-77
50976,1693,7.8,17.7,-50.1
41240,28,6.8,20.1,-89.3
31177,51,4.6,24.6,-87.7
94300,29,4.7,19.8,-83.1
80612,1400,2.6,24.3,-73.8
37615,34,9365.3,13.8,-67.6
31838,55,9.2,20.7,-55.4
78688,1295,0.3,20.7,-54.4
72701,600,7,26.4,-85.2
38065,62,2.6,29.4,-54.5
80998,17,7.9,13.2,-78.4
31684,16,0.8,20.7,-66.5
7066,25,2.4,26.7,-84.7
92085,40,6.2,15.9,-52.8
49865,79,9.8,27.9,-76.6
89061,1750,5.7,28.2,-83.5
89005,171,8.2,17.7,-90.4
33575,97,3135,25.2,-96.9
3569,20,1.8,19.2,-83.6
51348,30,0.6,15.9,-67.8
30846,49,2.3,24.9,-50.1
44785,1602,5.2,21.6,-83.7
68980,1787,0.8,23.4,-60.3
72900,31,7.8,28.5,-97.1
1241,766,5.9,21,-93
24519,766,8.7,28.2,-90.3
95389,1201,0.8,27.3,-85.3
8087,1973,8.1,20.4,-73.7
5088,62,6.2,25.5,-83.4
83108,56,9.3,20.4,-83.2
39491,1685,6.2,21.9,-65.7
48741,90,9.4,17.4,-79
29492,87,6416.7,17.4,-87.1
69155,16,4.5,28.8,-66.5
24968,37,8722.7,23.7,-92.4
83425,776,0.2,23.7,-58
95488,93,4647.6,15.3,-60.7
4844,21,4646.2,25.2,-93.5
37214,30,9.9,13.8,-56
30704,43,7.9,18.6,-61.1
70727,53,6.1,18,-78.5
57513,746,8.6,17.7,-92
70969,859,7872.3,29.1,-84
21970,29,7773.3,23.7,-82.2
30450,47,4.4,13.2,-55
15800,97,5.1,16.2,-75.1
92771,57,9.6,24.9,-89.4
16164,1994,0.4,27.3,-82.3
26676,75,2.5,25.5,-77.7
28713,931,7.4,18.3,-70.9
413,67,1654.4,14.7,-83.7
88803,91,8.4,28.2,-53.3
74845,20,9.9,17.7,-52.1
71249,562,8077.1,14.7,-68.7
76035,12,4.7,21,-54.8
49252,1126,9,28.2,-56.1
17450,31,7.5,28.8,-60.8
69320,31,6.6,23.7,-60.7
15224,29,3325.6,28.5,-62
26510,60,3.4,17.7,-64.8
54741,73,6.8,25.2,-80.4
69307,73,6.7,24.3,-71.7
68424,46,9.1,28.5,-89.9
19330,46,6,25.8,-65.8
97755,19,2,29.7,-65.4
52300,73,7.9,16.2,-69.4
